748,11320 S Halsted St,"(41.688218; -87.6425)"
4776,1926 N Halsted St,"(41.916715; -87.648645)"
6252,1900 S Halsted St,"(41.856619; -87.64668)"
3878,2101 N Southport Ave,"(41.91995; -87.662998)"
1121,2009 W Roscoe St,"(41.943069; -87.67885)"
4661,1600 N Wells St,"(41.911242; -87.634822)"
4432,11413 S Eggleston Ave,"(41.686642; -87.633547)"
1254,1800 W North Ave,"(41.910648; -87.672728)"
4833,1056 W Webster Ave,"(41.921806; -87.655167)"
3770,201 E Roosevelt Rd,"(41.86743; -87.622471)"
1557,1701 W 95th St,"(41.72021; -87.666523)"
4648,1755 W Division St,"(41.903126; -87.671631)"
5336,1601 W Armitage Ave,"(41.917769; -87.667729)"
4761,1313 E 60th St,"(41.785919; -87.594205)"
2143,1218 W Belmont Ave,"(41.939916; -87.659792)"
1073,1035 N Western Ave,"(41.900437; -87.686778)"
6189,2060 N Cleveland Ave,"(41.919348; -87.641442)"
4024,151 E Wacker Dr,"(41.888048; -87.623514)"
2395,1558 N Clark St,"(41.910703; -87.631841)"
6301,13260 S Brandon Ave,"(41.654445; -87.546081)"
4679,230 S LaSalle St,"(41.878718; -87.632313)"
1013,1375 W Lake St,"(41.88528; -87.66159)"
1093,1530 N Damen Ave,"(41.909181; -87.677554)"
3441,2 N Michigan Ave,"(41.882229; -87.624612)"
6008,1723 S Ashland Ave,"(41.858114; -87.666112)"
577,2035 N Western Ave,"(41.91854; -87.687373)"
2639,10542 S Ewing Ave,"(41.703758; -87.535444)"
3716,1 W Quincy St,"(41.878611; -87.629992)"
3252,1776 W Lawrence Ave,"(41.968969; -87.673528)"
2184,1842 S Blue Island Ave,"(41.857078; -87.662038)"
1249,1930 W Division St,"(41.903224; -87.676099)"
2157,2205 W Belmont Ave,"(41.939371; -87.683545)"
4671,1200 N Dearborn Pky,"(41.904138; -87.630175)"
3550,1541 W Morse Ave,"(42.007724; -87.668766)"
3532,2011 W Montrose Ave,"(41.96134; -87.679427)"
3016,100 W Illinois St,"(41.890936; -87.631276)"
6909,2117 N Western Ave,"(41.920374; -87.687304)"
4072,1616 N Wells St,"(41.911527; -87.63491)"
4034,101 E Walton Pl,"(41.899864; -87.624928)"
4887,1345 W Taylor St,"(41.869235; -87.66062)"
411,1952 W North Ave,"(41.910521; -87.676877)"
6179,2100 W Belmont Ave,"(41.93968; -87.681054)"
1558,1644 W 95th St,"(41.721394; -87.663505)"
7351,11125 S Halsted St,"(41.691609; -87.64211)"
2166,1482 W Berwyn Ave,"(41.978159; -87.667499)"
6905,2232 W Armitage Ave,"(41.917786; -87.683419)"
